2015-11-12 23:05:16,617 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 23:05:16,617 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sony\Documents\spidio docs\Spidio_DataLogix\Spidio_DataLogix\src\test\resources
2015-11-12 23:05:24,566 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.spidio.datalogix:datalogix:1.0 @ C:\Users\sony\Documents\spidio docs\Spidio_DataLogix\Spidio_DataLogix\pom.xml.
2015-11-12 23:05:25,818 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 23:05:25,819 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 23:05:25,821 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 23:05:25,822 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sony\Documents\spidio docs\Spidio_DataLogix\Spidio_DataLogix\src\test\resources
2015-11-12 23:05:33,223 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.spidio.datalogix:datalogix:1.0 @ C:\Users\sony\Documents\spidio docs\Spidio_DataLogix\Spidio_DataLogix\pom.xml.
2015-11-12 23:05:34,067 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 23:05:34,067 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
